ticker,segmento,ventana,dia_rel,car_medio,car_medio_sin_alpha,n_eventos
CMG,baja,20,-19,-0.004176,-0.003183,9
CMG,baja,20,-18,-0.008341,-0.006851,9
CMG,baja,20,-17,-0.004013,-0.002027,9
CMG,baja,20,-16,-0.006978,-0.004495,9
CMG,baja,20,-15,-0.008624,-0.005644,9
CMG,baja,20,-14,-0.009346,-0.005869,9
CMG,baja,20,-13,-0.011539,-0.007566,9
CMG,baja,20,-12,-0.014541,-0.010071,9
CMG,baja,20,-11,-0.00803,-0.003063,9
CMG,baja,20,-10,-0.00752,-0.002057,9
CMG,baja,20,-9,0.001157,0.007118,9
CMG,baja,20,-8,0.00066,0.007118,9
CMG,baja,20,-7,0.005133,0.012087,9
CMG,baja,20,-6,0.013304,0.020754,9
CMG,baja,20,-5,0.009937,0.017885,9
CMG,baja,20,-4,0.009331,0.017775,9
CMG,baja,20,-3,0.002911,0.011851,9
CMG,baja,20,-2,0.005224,0.014662,9
CMG,baja,20,-1,0.000663,0.010597,9
CMG,baja,20,0,-0.00067,0.009761,9
CMG,baja,20,1,0.016931,0.027859,9
CMG,baja,20,2,0.014343,0.025768,9
CMG,baja,20,3,0.017286,0.029207,9
CMG,baja,20,4,0.016474,0.028891,9
CMG,baja,20,5,0.016262,0.029177,9
CMG,baja,20,6,0.005666,0.019077,9
CMG,baja,20,7,0.004939,0.018847,9
CMG,baja,20,8,0.000973,0.015378,9
CMG,baja,20,9,-0.008412,0.006489,9
CMG,baja,20,10,-0.004521,0.010877,9
CMG,baja,20,11,-0.003924,0.011971,9
CMG,baja,20,12,-0.005445,0.010947,9
CMG,baja,20,13,-0.012172,0.004716,9
CMG,baja,20,14,-0.014228,0.003157,9
CMG,baja,20,15,-0.013495,0.004387,9
CMG,baja,20,16,-0.018666,-0.000287,9
CMG,baja,20,17,-0.017049,0.001826,9
CMG,baja,20,18,-0.023745,-0.004373,9
CMG,baja,20,19,-0.027156,-0.007288,9
CMG,baja,20,20,-0.027532,-0.007167,9
CRWD,media,20,-20,-0.007278,-0.005073,9
CRWD,media,20,-19,-0.004572,-0.000162,9
CRWD,media,20,-18,-0.015298,-0.008683,9
CRWD,media,20,-17,-0.03112,-0.022301,9
CRWD,media,20,-16,-0.050816,-0.039793,9
CRWD,media,20,-15,-0.070438,-0.057209,9
CRWD,media,20,-14,-0.078374,-0.062941,9
CRWD,media,20,-13,-0.070361,-0.052722,9
CRWD,media,20,-12,-0.085057,-0.065214,9
CRWD,media,20,-11,-0.093167,-0.071119,9
CRWD,media,20,-10,-0.086626,-0.062373,9
CRWD,media,20,-9,-0.066605,-0.040148,9
CRWD,media,20,-8,-0.073564,-0.044902,9
CRWD,media,20,-7,-0.078649,-0.047783,9
CRWD,media,20,-6,-0.088691,-0.05562,9
CRWD,media,20,-5,-0.065578,-0.030301,9
CRWD,media,20,-4,-0.070759,-0.033278,9
CRWD,media,20,-3,-0.056934,-0.017248,9
