ticker,dia,n_mensajes,finbert,probe,vader
DIS,2020-02-12,20,-0.1089,0.3542,0.0276
DIS,2020-02-13,20,-0.1181,0.283,0.0432
DIS,2020-02-14,20,-0.0359,0.4006,0.0544
DIS,2020-02-15,20,-0.0562,0.1135,-0.0105
DIS,2020-02-16,20,-0.0483,0.1201,0.0572
DIS,2020-02-17,20,0.0291,0.3194,0.0403
DIS,2020-02-18,20,-0.1742,0.0031,-0.0132
DIS,2020-02-19,20,0.0455,0.1988,0.0962
DIS,2020-02-20,20,-0.0104,0.4691,-0.0606
DIS,2020-02-21,20,0.1369,0.147,0.1118
DIS,2020-02-22,20,-0.0221,0.2385,0.055
DIS,2020-02-23,20,-0.1778,0.1045,-0.0009
DIS,2020-02-24,20,-0.2587,0.2702,-0.0165
DIS,2020-02-25,20,-0.019,0.3549,0.047
DIS,2020-02-26,20,0.0577,0.2179,0.0623
DIS,2020-02-27,20,-0.3488,-0.0423,-0.0435
DIS,2020-02-28,20,-0.0308,0.362,0.0329
DIS,2020-02-29,20,-0.0833,0.2063,0.0192
DIS,2020-03-01,20,-0.07,0.1512,0.0754
DIS,2020-03-02,20,-0.1753,0.0193,0.063
DIS,2020-03-03,20,-0.1442,0.2187,-0.0562
DIS,2020-03-04,20,-0.09,0.0166,0.1082
DIS,2020-03-05,20,0.1141,0.4074,0.073
DIS,2020-03-06,20,-0.1318,0.3654,-0.0086
DIS,2020-03-07,20,-0.1762,0.1331,0.0552
DIS,2020-03-08,20,-0.1804,0.0818,-0.0156
DIS,2020-03-09,20,-0.0804,0.2603,-0.0482
DIS,2020-03-10,20,-0.0522,0.3294,0.0235
DIS,2020-03-11,20,-0.0955,0.2505,-0.1066
DIS,2020-03-12,20,-0.2053,0.1352,-0.004
DIS,2020-03-13,20,-0.2816,0.1303,-0.0043
DIS,2020-03-14,20,-0.1691,0.3139,0.0256
DIS,2020-03-15,20,-0.1257,0.2931,0.0444
DIS,2020-03-16,20,-0.1473,0.243,-0.0257
DIS,2020-03-17,20,-0.0816,-0.0339,-0.0163
DIS,2020-03-18,20,-0.0014,0.2499,-0.0273
DIS,2020-03-19,20,-0.2902,0.0629,0.0548
DIS,2020-03-20,20,-0.1729,0.2429,0.0212
DIS,2020-03-21,20,-0.1054,0.336,0.0268
DIS,2020-03-22,20,-0.1871,0.2832,0.0704
DIS,2020-03-23,20,-0.2313,0.0796,-0.0509
DIS,2020-03-24,20,-0.0387,0.1263,0.0945
DIS,2020-03-25,20,-0.0962,0.2465,0.0218
DIS,2020-03-26,20,-0.0314,0.2312,0.0346
DIS,2020-03-27,20,-0.072,0.1941,0.0638
DIS,2020-03-28,20,-0.1859,0.367,0.0655
DIS,2020-03-29,20,-0.1594,0.0169,0.0696
DIS,2020-03-30,20,-0.2212,0.1178,-0.0207
DIS,2020-03-31,20,-0.0181,0.2271,0.031
DIS,2020-04-01,20,-0.1388,0.2714,-0.0399
DIS,2020-04-02,20,-0.1165,0.2697,-0.0136
DIS,2020-04-03,20,-0.1186,0.3432,0.025
DIS,2020-04-04,20,-0.1164,0.1664,-0.007
DIS,2020-04-05,20,-0.1064,0.2587,0.0513
DIS,2020-04-06,20,0.0212,0.4343,-0.0331
DIS,2020-04-07,20,0.1037,0.3451,0.116
DIS,2020-04-08,20,-0.1173,0.2388,0.0254
DIS,2020-04-09,20,-0.064,0.2795,0.0501
DIS,2020-04-10,20,-0.003,0.2245,0.0723
DIS,2020-04-11,20,-0.1096,0.1999,0.0523
DIS,2020-04-12,20,-0.0725,0.3225,0.0444
DIS,2020-04-13,20,-0.0797,0.3264,-0.007
DIS,2020-04-14,20,0.0087,0.2448,0.0746
DIS,2020-04-15,20,-0.1643,-0.0776,-0.018
DIS,2020-04-16,20,-0.0197,0.0792,0.0626
DIS,2020-04-17,20,-0.0718,0.3582,0.0589
DIS,2020-04-18,20,-0.1897,0.0952,0.021
DIS,2020-04-19,20,0.0483,0.1243,0.0546
DIS,2020-04-20,20,0.0008,0.3622,0.0446
DIS,2020-04-21,20,-0.1009,0.1507,0.0191
DIS,2020-04-22,20,-0.0992,-0.0004,0.04
DIS,2020-04-23,20,-0.091,0.1897,0.0538
DIS,2020-04-24,20,-0.0334,0.3624,0.0122
DIS,2020-04-25,20,-0.0494,0.2228,0.0114
DIS,2020-04-26,20,-0.0682,0.1241,0.0845
DIS,2020-04-27,20,-0.0836,0.1396,-0.0484
DIS,2020-04-28,20,-0.1629,0.2159,0.0118
DIS,2020-04-29,20,-0.0496,0.234,0.0987
DIS,2020-04-30,20,-0.0327,0.2744,0.0687
DIS,2020-05-01,20,-0.1378,0.0325,0.0412
DIS,2020-05-02,20,-0.1324,0.0718,0.0904
DIS,2020-05-03,20,-0.0347,0.2007,0.0853
DIS,2020-05-04,20,-0.1156,0.2886,0.0591
DIS,2020-05-05,20,-0.1231,0.1379,-0.0664
DIS,2020-05-06,20,-0.1197,0.2696,0.0517
DIS,2020-05-07,20,-0.0783,0.3676,0.0192
DIS,2020-05-08,20,-0.0579,0.3508,0.1005
DIS,2020-05-09,20,-0.0754,0.1405,-0.008
DIS,2020-05-10,20,0.062,0.3001,0.0639
DIS,2020-05-11,20,-0.0993,0.2123,0.0122
DIS,2020-05-12,20,0.1486,0.4372,0.0763
DIS,2020-05-13,20,0.086,0.5412,-0.0456
DIS,2020-05-14,20,0.0016,0.2238,0.0559
DIS,2020-05-15,20,-0.0095,0.1204,-0.0085
DIS,2020-05-16,20,0.1017,0.2023,0.0716
DIS,2020-05-17,20,0.0328,0.3204,0.0408
DIS,2020-05-18,20,-0.0185,0.1676,0.0619
DIS,2020-05-19,20,-0.1106,0.1215,-0.0244
DIS,2020-05-20,20,-0.0864,0.1238,-0.0192
DIS,2020-05-21,20,0.0094,0.3345,0.0414
DIS,2020-05-22,20,-0.0543,0.2467,0.0362
DIS,2020-05-23,20,0.0447,0.3285,0.0584
DIS,2020-05-24,20,0.1073,0.2834,0.0966
DIS,2020-05-25,20,0.0512,0.3221,0.0266
DIS,2020-05-26,20,0.0176,0.0457,0.0836
DIS,2020-05-27,20,0.0156,0.4136,-0.0148
DIS,2020-05-28,20,-0.0856,0.2652,0.0303
DIS,2020-05-29,20,-0.1069,0.2176,0.0229
DIS,2020-05-30,20,0.1051,0.1387,0.1393
DIS,2020-05-31,20,0.068,0.4794,0.1144
DIS,2020-06-01,20,0.0561,0.3779,0.0942
DIS,2020-06-02,20,-0.0155,0.2234,0.0604
DIS,2020-06-03,20,0.0048,0.2888,0.0492
DIS,2020-06-04,20,0.101,0.5014,0.0702
DIS,2020-06-05,20,0.0999,0.3137,0.0924
DIS,2020-06-06,20,0.0248,0.3436,0.1311
DIS,2020-06-07,20,0.0121,0.2972,0.0922
DIS,2020-06-08,20,-0.121,0.4031,0.0686
DIS,2020-06-09,20,0.1034,0.3346,0.054
DIS,2020-06-10,20,-0.0578,0.3181,0.0108
DIS,2020-06-11,20,-0.053,0.3582,0.0266
DIS,2020-06-12,20,-0.0493,0.2887,0.0782
DIS,2020-06-13,20,-0.0712,0.0544,0.1328
DIS,2020-06-14,20,0.0475,0.107,0.018
DIS,2020-06-15,20,0.0216,0.3653,0.1275
DIS,2020-06-16,20,0.1261,0.3698,0.0221
DIS,2020-06-17,20,-0.2193,0.2615,0.0686
DIS,2020-06-18,20,0.0855,0.4231,0.0945
